Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CO2,ABW,Aruba,0.025213789,0.028827752,0.039472108,0.044289439,0.043469148,0.057396273,0.05642291,0.067099762,0.071936982,0.075919038,0.079772226,0.082893141,0.081823981,0.084428844,0.098591859,0.104138822,0.113741672,0.128694862,0.142847321,0.197417826,0.200852584,0.226240584,0.250567739,0.251372421,0.285601275,0.314184875,0.206557869,0.342741669,0.350914131,0.35551225,0.268575044,0.271463969,0.296562901,0.341925898,0.348888907,0.384839427,0.423686529,0.457532751,0.453993544,0.492741808,0.482206904,0.290180678,0.374857424,0.412307305,0.440689215,0.462025593,0.484888607,0.466591612,0.465881209,0.557917266,0.452553064,0.500635247,0.502693255,0.530026098
CO2,AFG,Afghanistan,1.73392027,1.733709906,1.693584478,1.733904787,2.190318066,2.02896685,1.89264158,2.282574455,1.934106762,2.059302221,2.006422982,2.259933489,2.309600549,3.001698788,3.224699088,4.123374917,3.941638537,3.272774528,3.087913325,2.895958996,2.922237037,2.847006214,1.819947845,1.784792523,1.68515192,1.462995999,1.417185939,1.384648236,1.420416757,1.375520279,1.016059431,0.944683022,0.942265589,1.007964175,0.892887788,1.266340324,1.408288105,2.009564225,3.833382772,6.082787222,7.788893115,11.40871139,9.767755639,8.300021704,7.825740854,8.346520776,7.527593714,8.066138489,7.932004694,7.249068567,7.054132973,7.930781033,8.25991526,8.70734983
CO2,AGO,Angola,8.933899038,8.519512895,10.36610427,11.34699566,11.80656082,10.90465296,7.291981003,12.03347322,14.21626955,14.17940432,14.31612974,13.23227059,12.77150833,13.2212928,13.35655143,14.1037418,14.24618589,14.50164119,14.94080361,15.10349834,11.23070675,11.78046209,12.11898155,12.14162937,11.49035212,12.95329566,15.67875885,16.40211133,17.03644627,18.03144952,16.5119082,16.19230309,15.91544045,17.32963226,17.6902609,15.63885114,16.32024668,17.0558181,19.11943047,21.08885607,22.73989087,23.65003801,24.71617744,28.53421971,30.88726366,33.09749892,31.28580272,27.94209886,26.25888652,27.57321601,20.71091767,25.26283179,27.35303812,28.22992761
CO2,AIA,Anguilla,0.002177587,0.002177689,0.00227319,0.00211848,0.002359836,0.002593654,0.002444145,0.002546772,0.002911353,0.003222756,0.004422364,0.006649427,0.007028416,0.006098383,0.005810647,0.003680496,0.003164626,0.006136321,0.005808208,0.00616006,0.006126523,0.00759202,0.007915973,0.009965647,0.013145114,0.016409894,0.016227945,0.013578708,0.012464076,0.0117665,0.015547556,0.015926577,0.010875333,0.014123901,0.013489464,0.013679755,0.012831096,0.012373733,0.015287871,0.02018065,0.024024484,0.026028307,0.026043738,0.027961269,0.02791705,0.028026636,0.02836258,0.029086622,0.028247295,0.027604422,0.022803655,0.022017827,0.02186134,0.022955546
CO2,AIR,International Aviation,169.9003985,169.9003985,179.7595311,187.4944063,180.478129,174.5824705,174.9079827,190.7985051,197.8662816,204.56754,203.4582729,202.6665081,210.0563961,211.936887,219.8777488,225.9081363,248.1301413,262.3325178,277.1728438,291.1174265,260.6885964,253.6927113,262.1585581,267.3065886,281.0604083,291.7711661,303.6968869,318.3362545,328.9781409,342.9629092,355.3234824,349.1892906,369.5032558,367.4129017,403.086621,429.0246419,444.324424,459.2762302,466.3894355,443.7853586,466.6570758,480.1178138,483.6766243,492.2572286,507.5057608,536.2136805,560.1738389,589.9193153,615.9375423,625.1414353,298.6556776,331.3174247,411.4748661,491.6323076
CO2,ALB,Albania,4.844988068,4.838128768,5.518291373,4.951942493,5.329617357,5.424117634,5.796572813,6.200933063,6.820995331,7.936703043,8.073499079,7.072604242,7.273021913,7.792231446,8.431155879,8.073940436,8.151358862,8.292707712,8.199593384,7.905921454,6.644969301,4.379473083,2.363037223,2.222701222,2.344087608,2.069963525,2.054932915,1.58047575,1.914674362,3.086587472,3.232531279,3.439287771,4.006358581,4.211217156,4.414043142,4.148476443,4.134680725,4.244375822,4.194610157,4.274597464,4.556850488,4.988210526,4.532852943,4.769330231,5.095835784,4.863525143,4.530278883,5.341515428,5.305582509,4.953544001,4.560776421,5.039333111,4.609009805,4.591827764
CO2,ANT,Curaçao,14.51578265,14.51579879,14.11395954,15.60867397,14.12401296,10.19675057,10.84914635,10.98319572,9.271818134,9.182436608,8.677756741,8.042036703,7.295812742,6.828843547,6.690712621,4.499205783,4.29708304,3.965313306,3.45935116,2.956711991,2.666390091,2.765856955,2.883424409,2.366961133,2.66504882,2.671563419,2.700203498,5.2994852,5.479720937,5.445561463,5.667477988,5.656304712,5.416997032,5.433220785,5.636241812,5.91286189,5.781282678,6.260054689,6.199098592,5.87853952,4.288051276,5.523743774,5.607056934,5.141066643,5.669078316,5.741944054,4.973774923,4.012867779,3.236726024,2.511433241,2.05481112,2.241320701,2.32423989,2.434138439
CO2,ARE,United Arab Emirates,19.46478161,25.42981242,27.7473592,35.84360207,36.01068365,36.67944373,45.58099402,45.8764465,52.61138915,37.87950522,41.13848048,38.05548425,38.06503248,36.7927764,49.9812212,51.81151718,50.23406905,52.0698484,50.98923744,56.93602545,56.88756715,64.72221568,62.52240874,65.91412081,72.56852896,77.40254297,80.89082962,84.30160977,86.47813447,89.15244885,88.45692969,101.2593097,103.5183974,108.8195561,115.0196636,122.4618737,127.1976426,137.1440913,164.2518856,165.3368724,171.9537309,177.2644763,185.020878,194.92309,197.9033277,206.6195196,212.2196595,204.2580154,187.0554933,197.6422573,195.49085,201.3250687,206.8994905,205.9913033
CO2,ARG,Argentina,87.5691423,87.89084312,89.71539024,92.8004195,93.28015601,90.91669608,95.58786407,99.51945014,98.57955059,104.2682919,101.8262139,98.79682861,98.00691407,101.4393554,100.8356328,94.21036792,101.6382473,107.2493831,111.0341298,107.776298,100.1876375,105.5928245,107.5110365,111.2743475,114.6832914,116.2683518,126.5705614,130.9263801,138.0079057,139.9386784,136.7616074,131.3470509,124.055033,135.244335,149.7328229,153.6797539,162.6176685,173.1560629,179.3129425,164.9145738,177.404229,184.8744807,188.8657879,193.2397199,190.0820576,196.2521887,194.1701706,191.3791885,189.8389393,183.2869034,170.1202783,190.6620207,193.4816377,183.7784214
CO2,ARM,Armenia,10.09948357,10.11547721,10.82885302,11.76852261,12.68219168,13.84218973,14.23224023,14.76781487,15.37862564,15.95898975,17.02383128,17.43609571,17.97576867,18.02973987,18.1670937,18.25174887,18.44227776,18.64010413,18.545438,18.12652075,20.7801266,21.59813756,10.97656687,5.115271474,2.808322205,3.541206317,2.594064983,3.338394856,3.472604987,3.104203003,3.569612355,3.633318269,3.101336185,3.470678865,3.759019339,4.462479612,4.44546886,5.154026875,5.648247601,4.50181369,4.298827714,4.903744031,5.669202578,5.492409107,5.760251117,5.61664906,5.374288737,5.688557231,5.950878354,6.424075918,6.913823302,7.509184664,7.289276174,7.725144396
